active_networks,collateral,delegated_stake,delegator_type,label,opted_in_operators,slasher_type,tvl,utilization,vault,whitelisted
1,WBTC,273.29321239999996,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,277.6,0.9844856354466857,0xfcdaef4d62b95b585ca5a6c328607e0548563dde,True
1,ZKL,213.3533864702743,NetworkRestakeDelegator,Other,3,None,173,1.233256569192337,0x4ddf2b45d7c86d198c6ff5b77c2a3845efb26d31,False
1,wstETH,155.27801591592674,NetworkRestakeDelegator,Other,4,None,158.6,0.9790543248166882,0xa1714ca474f9d4065ae92cfbc1f1b11f36402854,False
1,MANTA,93.04290537401833,OperatorSpecificDelegator,Public,1,VetoSlasher,93.1,0.9993867387112604,0xeb70dd367b3ce1221d4d325cb1cf71cec9d5de26,False
0,wstETH,0,OperatorSpecificDelegator,Other,0,VetoSlasher,38.2,0,0x5b70044bca090b2003f5dc0dc0d9aa2712cf4365,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,None,0.1,0,0x49bc6895ed7311a1c9d95605428258947f1b0b9d,True
0,SPK,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0.1,0,0x0542206dad09b1b58f29155b4317f9bf92cd2701,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xac7817e893efb8401c5cf6c625125725e139c326,True
0,0x080ccaa313b0e0bac744c090b5894d75d853518d,0,NetworkRestakeDelegator,Public,1,VetoSlasher,0,NaN,0xd01f195f4d3033f25f1dee614f0dced882dbbc56,True
0,wstETH,0,OperatorNetworkSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x1989a20cf262b07e873abc3af8ad9e4616205d62,False
0,0xc1ef3ef1064a936693d1f058bbf48453c5d66587,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xd5565249cfd47c7fde8d81c86aa8f958ee9ed49c,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x4fbe61b8aeab6d570a279d08dd2ce929a3f419a8,False
0,mETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x0b7d1ccf0e13c98da167dab9fb92b56bd1a582de,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xca9c60dc4a445a6e1b7e4fad351603b1cedb1b75,False
0,osETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xfecd21949924de15f6cefce92f05e99991e22879,False
0,0x475d3eb031d250070b63fa145f0fcfc5d97c304a,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x5b745b3fdd00f8c2cf89e47978400694a9b9ebe4,False
0,mETH,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0xfbf6d1a680205ef9398178a029870f6a405fd116,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xe596b8d74d260eb8bf8c6b055c61d4e07c45350e,True
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xffe9a42a4002cf9c3abb2afa7de6a503dae4ce30,True
0,sUSDe,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x156bd0377181b6090230b20e4d9070c04467d1bd,True
0,SPK,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xe625bd0377ec10af5e9d3b572da3846797419b86,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x7fd837fc6e6b1405e3d3aca89eef5d8438a2ad44,True
2,lvlwaUSDC,0,NetworkRestakeDelegator,Public,6,VetoSlasher,0,NaN,0x67f91a36c5287709e68e3420cd17dd5b13c60d6d,True
0,0x05e979fdceb5a82f963468a3f1e4c7ccf6957c84,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x941ee11c2470755a5281e6b5d8f74fcd6bb1057a,True
0,cbBTC,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x541ec43fb43eba1ea7bce265ced94b6201899d84,False
0,POND,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x120550a8077f126139ddfc1207cb9eafe42be33a,False
0,0x93c58ce7238ba13aa6e3c74a4d17d479fbd99549,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x39f31715398dbbd90773faa6b1ff062fb89f46e1,False
0,SPK,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xb237d536b0984df8a781e3eba2cdf3ca8be21499,False
1,wstETH,0,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,0,NaN,0x9adadbfa5a6da138e419bc2facb42364870ba8dc,True
0,wOETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x7b79de0ce3fb365aae05dfb99c26d3da7ee85c8b,False
0,ENA,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x67c000d0cdfaaf13f49ceba3992ea88d2fdfc4eb,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x4dcd1da51c10d97c0feac12b47f4d19e3d56cd2b,True
0,wstETH,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x485c8d651a1e8d3dbf69a7b58767f4eed6b14f99,False
1,weETH,0,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,0,NaN,0x5c493fcb2017d0a644526cfca29eef7ab22f5b8b,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x44e1c533108fe58d08030df6c98e0e2129dbf7e4,False
0,SIS,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x4929b15f93d77cfa27c3b39f456f62d5eaa90735,True
0,wstETH,0,OperatorSpecificDelegator,Public,1,VetoSlasher,0,NaN,0x2c07b584be483e25f360786d790544a6ecfb85a0,False
0,0x20347ece0df3b4b413ee656b9ffcc0562285be71,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x6d095e8c4b5bda7f3dc5b86e8202627fbfb97d75,True
0,tBTC,0,NetworkRestakeDelegator,Public,5,VetoSlasher,0,NaN,0xa5c47fe5c30d2547ddc1ccefac5a515902178de6,True
1,MANTA,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x4b7d63af4f78b12e86183e14b867b0c211b5b67e,False
0,0x19d0d8e6294b7a04a2733fe433444704b791939a,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x933a431e172de53519da42feec4eb5e1af5d3902,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x939b5c8e52fa3c87e381b0324563d1e97952d4b5,False
1,wstETH,0,NetworkRestakeDelegator,Public,1,VetoSlasher,0,NaN,0x8327b8bd2561d28f914931ad57370d62c7968e40,True
0,0xe39b5f5638a209c1a6b6cdffe5d37f7ac99fcc84,0,,Public,0,,0,NaN,0x,False
0,rETH,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x5c59ba5293d6589faf4682d595268f279b3db4b0,False
0,wstETH,0,OperatorNetworkSpecificDelegator,Public,0,VetoSlasher,0,NaN,0xa6837d438b1bab9ff9bb04ce84a525ad30cbce82,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x6d17d5e17e2e471fb8209b9101a4091717239d66,True
0,WBTC,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xc82405cc38cb005974f0e7bd40cea1d9e3037635,True
0,rETH,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x0b36dff97b9412fb39ce928352dc01f846d57c89,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xf7cd546bcb6a5a6df4e9bcec1a23aa08d78bd390,False
0,0xc329400492c6ff2438472d4651ad17389fcb843a,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0xbecfad885d8a89a0d2f0e099f66297b0c296ea21,False
0,SolvBTC,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x9c84be7f5949ed2620d69f341b166daefbc523be,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x60b683af37e15283f2623fc63eeca7726e934976,True
0,wstETH,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x3f326dd5f9368c9a9988353129bfa7ad68820fe2,False
0,ENA,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x0dd961f0c4324c6523be06a4b9c3b3fab98c746c,False
